16:50:000000:30580
16:50:010802:662
16:50:000000:37284
16:50:000000:36027
16:50:000000:30581
16:50:000000:34
16:50:011002:3
16:50:010802:18
16:50:011131:2
16:50:000000:18466
16:50:000000:5631
16:50:000000:4225
16:50:011225:630
16:50:000000:39844
16:50:000000:39845
16:50:070116:8758
16:50:011214:353
16:50:070116:8757
16:50:011355:289
16:50:011321:400
16:50:011315:520
16:50:011227:400
16:50:011322:601
16:50:011338:387
16:50:011326:361
16:50:050140:3442
16:50:070116:8754
16:50:010803:1050
16:50:011213:356
16:50:011221:344
16:50:130101:1550
16:50:050101:362
16:50:070105:407
16:50:130101:1551
16:50:011239:752
16:50:070116:8752
16:50:070117:1996
16:50:011229:367
16:50:070117:1995
16:50:010803:1048
16:50:011325:342
16:50:011330:373
16:50:050101:361
16:50:011315:515
16:50:011244:219
16:50:011228:333
16:50:011339:274
16:50:011315:514
16:50:000000:37470
16:50:010803:1047
16:50:011330:372
16:50:011233:618
16:50:011330:371
16:50:011013:2618
16:50:070201:277
16:50:050139:1765
16:50:060501:268
16:50:011001:579
16:50:011229:365
16:50:011239:746
16:50:011210:269
16:50:011333:372
16:50:060501:263
16:50:011334:464
16:50:011226:378
16:50:011360:468
16:50:011302:290
16:50:060501:264
16:50:011213:355
16:50:011321:398
16:50:011216:236
16:50:070118:2606
16:50:070403:2696
16:50:070116:8735
16:50:011329:287
16:50:011334:463
16:50:000000:37125
16:50:011017:257
16:50:130101:1533
16:50:011222:345
16:50:070105:406
16:50:011229:364
16:50:070105:405
16:50:011225:623
16:50:011351:857
16:50:000000:37037
16:50:070116:8734
16:50:011219:449
16:50:000000:37025
16:50:070201:276
16:50:011343:385
16:50:011202:530
16:50:011321:397
16:50:050139:1750
16:50:070116:8732
16:50:070116:8733
16:50:070116:8731
16:50:070113:488
16:50:011324:356
16:50:011206:287
16:50:050139:1749
16:50:011203:353
16:50:070112:839
16:50:011215:347
16:50:011306:250
16:50:070112:840
16:50:050139:1748
16:50:011237:345
16:50:011225:622
16:50:011306:251
16:50:130101:1525
16:50:011213:352
16:50:070118:2605
16:50:011362:299
16:50:130101:1522
16:50:130101:1521
16:50:011335:488
16:50:011319:373
16:50:011315:513
16:50:010803:1004
16:50:011216:235
16:50:050105:1293
16:50:060620:3442
16:50:011215:346
16:50:060628:3455
16:50:011213:351
16:50:011344:403
16:50:011344:402
16:50:011344:401
16:50:011229:362
16:50:011327:360
16:50:070118:2604
16:50:000000:35989
16:50:000000:35989
16:50:011338:383
16:50:000000:35899
16:50:011303:427
16:50:011226:377
16:50:011343:384
16:50:130101:1513
16:50:130101:1512
16:50:000000:35829
16:50:000000:35827
16:50:000000:35837
16:50:000000:35795
16:50:070111:697
16:50:050139:1737
16:50:000000:35356
16:50:011330:369
16:50:011330:368
16:50:050139:1739
16:50:050139:1740
16:50:130101:1511
16:50:130101:1509
16:50:130101:1508
16:50:130101:1505
16:50:130101:1503
16:50:130101:1502
16:50:130101:1501
16:50:130101:1500
16:50:000000:35172
16:50:000000:35172
16:50:060619:308
16:50:011017:255
16:50:011360:466
16:50:011348:219
16:50:011348:218
16:50:011348:217
16:50:011324:355
16:50:011324:354
16:50:011324:353
16:50:011324:350
16:50:011342:372
16:50:011328:386
16:50:011341:349
16:50:011337:245
16:50:011303:425
16:50:011326:358
16:50:011315:512
16:50:011302:288
16:50:011302:287
16:50:011308:404
16:50:011235:339
16:50:011226:376
16:50:011226:375
16:50:011227:398
16:50:011211:354
16:50:011212:253
16:50:011214:41
16:50:070116:8714
16:50:050141:2103
16:50:050141:2102
16:50:050141:2101
16:50:050141:2095
16:50:050141:2094
16:50:050139:1738
16:50:011322:597
16:50:011322:599
16:50:011322:600
16:50:011322:598
16:50:011210:268
16:50:070116:8710
16:50:011208:280
16:50:011334:458
16:50:011328:384
16:50:000000:35103
16:50:000000:35099
16:50:000000:35098
16:50:010803:1001
16:50:010803:1000
16:50:050141:2097
16:50:070105:404
16:50:070116:8709
16:50:050141:2098
16:50:070114:1931
16:50:011308:405
16:50:011333:368
16:50:011001:576
16:50:011338:382
16:50:011213:349
16:50:011317:409
16:50:011317:408
16:50:011317:407
16:50:070115:2596
16:50:070114:1925
16:50:011337:244
16:50:011322:592
16:50:011322:591
16:50:011322:590
16:50:011322:594
16:50:011322:593
16:50:011338:381
16:50:011239:738
16:50:011318:357
16:50:011364:362
16:50:130101:1497
16:50:130101:1496
16:50:130101:1495
16:50:130101:1494
16:50:010803:998
16:50:010803:997
16:50:000000:34441
16:50:011353:705
16:50:011208:278
16:50:130101:1493
16:50:130101:1492
16:50:000000:34407
16:50:010803:995
16:50:010803:996
16:50:060628:3449
16:50:060620:182
16:50:011315:509
16:50:011315:508
16:50:050139:1730
16:50:011334:457
16:50:011345:293
16:50:130101:1481
16:50:130101:1480
16:50:130101:1479
16:50:130101:1478
16:50:070116:8701
16:50:000000:34319
16:50:011338:378
16:50:011206:285
16:50:011206:284
16:50:011363:267
16:50:011213:347
16:50:011321:395
16:50:011308:403
16:50:000000:34272
